MED_MNEMONIC	RXCUI	RXNORM_DESCRIPTION	GENERIC	GENERIC_NAME	ATC	LEVEL4_DESCRIPTION	LEVEL3	LEVEL3_DESCRIPTION	LEVEL2	LEVEL2_DESCRIPTION	LEVEL1	LEVEL1_DESCRIPTION
5024	QUESTRAN LIGHT210 GM	1801279	Sugar-Free cholestyramine resin 4000 MG Powder for Oral Suspension	2447	cholestyramine resin	C10AC	BILE ACID SEQUESTRANTS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
5025	LAMICTAL 200MG200 MG	108782	lamotrigine 200 MG Oral Tablet [Lamictal]	28439	lamotrigine	N03AX	OTHER ANTIEPILEPTICS	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
5026	TRILIPIX135 MG	828373	fenofibric acid 135 MG Delayed Release Oral Capsule	8703	fenofibrate	C10AB	FIBRATES	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
5027	SINEMET CR 50-1 EACH	834341	carbidopa 50 MG / levodopa 200 MG Extended Release Oral Tablet [Sinemet]	103990	carbidopa / levodopa	N04BA	DOPA AND DOPA DERIVATIVES	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
5028	DULERA 200 MCG/13 GM	1360063	formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler	1002293	formoterol / mometasone	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5029	ADDERALL 20MG T20 MG	577961	amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Oral Tablet	822929	amphetamine aspartate / amphetamine sulfate / dextroamphetamine saccharate / dextroamphetamine sulfate	N06BA	CENTRALLY ACTING SYMPATHOMIMETICS	N06B	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
5030	MIRALAX	876193	polyethylene glycol 3350 17000 MG Powder for Oral Solution	221147	polyethylene glycol 3350	A06AB	CONTACT LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
5031	MIRALAX	876193	polyethylene glycol 3350 17000 MG Powder for Oral Solution	221147	polyethylene glycol 3350	A06AD	OSMOTICALLY ACTING LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
5032	MELATONIN5 M1	252732	melatonin 5 MG Oral Tablet	6711	melatonin	N05CH	MELATONIN RECEPTOR AGONISTS	N05C	HYPNOTICS AND SEDATIVES	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
5033	COLESTID1 G	1048447	colestipol hydrochloride 1000 MG Oral Tablet [Colestid]	2685	colestipol	C10AC	BILE ACID SEQUESTRANTS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
5034	LAMOTRIGINE 10100 MG	105018	lamotrigine 100 MG Oral Tablet [Lamictal]	28439	lamotrigine	N03AX	OTHER ANTIEPILEPTICS	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
5035	GEODON 40 MG CA40 MG	313776	ziprasidone 40 MG Oral Capsule	115698	ziprasidone	N05AE	INDOLE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
5036	TYLENOL EXTRA500 MG	1293942	acetaminophen 500 MG Oral Tablet [Pharbetol]	161	acetaminophen	N02BE	ANILIDES	N02B	OTHER ANALGESICS AND ANTIPYRETICS	N02	ANALGESICS	N	NERVOUS SYSTEM
5037	VALPROIC250MG/ML	1099687	valproic acid 50 MG/ML Oral Solution	40254	valproate	N03AG	FATTY ACID DERIVATIVES	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
5038	INDERAL20 MG	856457	propranolol hydrochloride 20 MG Oral Tablet	8787	propranolol	C07AA	BETA BLOCKING AGENTS, NON-SELECTIVE	C07A	BETA BLOCKING AGENTS	C07	BETA BLOCKING AGENTS	C	CARDIOVASCULAR SYSTEM
5039	VITAMIN B-122500 MCG	198891	vitamin B12 2.5 MG Sublingual Tablet	11248	vitamin B12	B03BA	VITAMIN B12 (CYANOCOBALAMIN AND ANALOGUES)	B03B	VITAMIN B12 AND FOLIC ACID	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
5040	PRILOSEC10 MG	199119	omeprazole 10 MG Delayed Release Oral Capsule	7646	omeprazole	A02BC	PROTON PUMP INHIBITORS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
5041	CITRATE OF MAG296 ML	1052760	magnesium citrate 58.2 MG/ML Oral Solution	52356	magnesium citrate	A06AD	OSMOTICALLY ACTING LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
5042	CITRATE OF MAG296 ML	1052760	magnesium citrate 58.2 MG/ML Oral Solution	52356	magnesium citrate	A12CC	MAGNESIUM	A12C	OTHER MINERAL SUPPLEMENTS	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
5043	CITRATE OF MAG296 ML	1052760	magnesium citrate 58.2 MG/ML Oral Solution	52356	magnesium citrate	B05CB	SALT SOLUTIONS	B05C	IRRIGATING SOLUTIONS	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
5044	GALZIN50 MG	213050	zinc acetate 50 MG Oral Capsule [Galzin]	58295	zinc acetate	A16AX	VARIOUS ALIMENTARY TRACT AND METABOLISM PRODUCTS	A16A	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	A16	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	A	ALIMENTARY TRACT AND METABOLISM
5045	LISINOPRIL 5 MG	311354	lisinopril 5 MG Oral Tablet	29046	lisinopril	C09AA	ACE INHIBITORS, PLAIN	C09A	ACE INHIBITORS, PLAIN	C09	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	C	CARDIOVASCULAR SYSTEM
5046	DIDRONEL200 M1	904535	etidronate disodium 200 MG Oral Tablet	42682	etidronate	M05BA	BISPHOSPHONATES	M05B	DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION	M05	DRUGS FOR TREATMENT OF BONE DISEASES	M	MUSCULO-SKELETAL SYSTEM
5047	LOTREL 10/20 MG1 CAP	898344	amlodipine 10 MG / benazepril hydrochloride 20 MG Oral Capsule [Lotrel]	214223	amlodipine / benazepril	C09BB	ACE INHIBITORS AND CALCIUM CHANNEL BLOCKERS	C09B	ACE INHIBITORS, COMBINATIONS	C09	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	C	CARDIOVASCULAR SYSTEM
5048	ZOLOFT 100MG T100 MG	208149	sertraline 100 MG Oral Tablet [Zoloft]	36437	sertraline	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
5049	BREO ELLIPTA 11 EACH	1424889	30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler	1424888	fluticasone / vilanterol	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5050	PARAFON FORTE500 MG	197502	chlorzoxazone 500 MG Oral Tablet	2410	chlorzoxazone	M03BB	OXAZOL, THIAZINE, AND TRIAZINE DERIVATIVES	M03B	MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS	M03	MUSCLE RELAXANTS	M	MUSCULO-SKELETAL SYSTEM
5051	NAMENDA XR7 MG	996617	24 HR memantine hydrochloride 7 MG Extended Release Oral Capsule [Namenda]	6719	memantine	N06DX	OTHER ANTI-DEMENTIA DRUGS	N06D	ANTI-DEMENTIA DRUGS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
5052	TAMSULOSIN 0.40.4 MG	863669	tamsulosin hydrochloride 0.4 MG Oral Capsule	77492	tamsulosin	G04CA	ALPHA-ADRENORECEPTOR ANTAGONISTS	G04C	DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY	G04	UROLOGICALS	G	GENITO URINARY SYSTEM AND SEX HORMONES
5053	FLUTICASONE PRO16 GM	896321	120 ACTUAT Fluticasone propionate 0.05 MG/ACTUAT Nasal Inhaler	41126	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	R01AD	CORTICOSTEROIDS	R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	R01	NASAL PREPARATIONS	R	RESPIRATORY SYSTEM
5054	MIRTAZAPINE7.5 MG	476809	mirtazapine 7.5 MG Oral Tablet	15996	mirtazapine	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
5055	VENTOLIN HFA18 GM	859088	NDA020983 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin]	435	albuterol	R03AC	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5056	VENTOLIN HFA18 GM	859088	NDA020983 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin]	435	albuterol	R03CC	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS	R03C	ADRENERGICS FOR SYSTEMIC USE	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5057	TRU-MICIN100 ML	313519	trolamine salicylate 100 MG/ML Topical Lotion	38866	trolamine salicylate	M02AC	PREPARATIONS WITH SALICYLIC ACID DERIVATIVES	M02A	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	M02	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	M	MUSCULO-SKELETAL SYSTEM
5058	HYDROXYZINE HCL50 MG	995281	hydroxyzine hydrochloride 50 MG Oral Tablet	5553	hydroxyzine	N05BB	DIPHENYLMETHANE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
5059	INTUNIV2 MG	862015	24 HR guanfacine 2 MG Extended Release Oral Tablet [Intuniv]	40114	guanfacine	C02AC	IMIDAZOLINE RECEPTOR AGONISTS	C02A	ANTIADRENERGIC AGENTS, CENTRALLY ACTING	C02	ANTIHYPERTENSIVES	C	CARDIOVASCULAR SYSTEM
5060	TRAZODONE 100M100 MG	856373	trazodone hydrochloride 100 MG Oral Tablet	10737	trazodone	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
5061	GENTAK3.5 GM	545236	gentamicin 0.003 MG/MG Ophthalmic Ointment [Gentak]	1596450	gentamicin	D06AX	OTHER ANTIBIOTICS FOR TOPICAL USE	D06A	ANTIBIOTICS FOR TOPICAL USE	D06	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
5062	GENTAK3.5 GM	545236	gentamicin 0.003 MG/MG Ophthalmic Ointment [Gentak]	1596450	gentamicin	J01GB	OTHER AMINOGLYCOSIDES	J01G	AMINOGLYCOSIDE ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
5063	GENTAK3.5 GM	545236	gentamicin 0.003 MG/MG Ophthalmic Ointment [Gentak]	1596450	gentamicin	S01AA	ANTIBIOTICS	S01A	ANTIINFECTIVES	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
5064	GENTAK3.5 GM	545236	gentamicin 0.003 MG/MG Ophthalmic Ointment [Gentak]	1596450	gentamicin	S02AA	ANTIINFECTIVES	S02A	ANTIINFECTIVES	S02	OTOLOGICALS	S	SENSORY ORGANS
5065	GENTAK3.5 GM	545236	gentamicin 0.003 MG/MG Ophthalmic Ointment [Gentak]	1596450	gentamicin	S03AA	ANTIINFECTIVES	S03A	ANTIINFECTIVES	S03	OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS	S	SENSORY ORGANS
5066	REQUIP2 MG	312847	ropinirole 2 MG Oral Tablet	72302	ropinirole	N04BC	DOPAMINE AGONISTS	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
5067	ACIDOPHILUS1 EACH	1370001	Lactobacillus acidophilus 10000000000 UNT Oral Capsule	6205	Lactobacillus acidophilus	A07FA	ANTIDIARRHEAL MICROORGANISMS	A07F	ANTIDIARRHEAL MICROORGANISMS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
5068	GEODON20 MG/VIAL	351223	ziprasidone 20 MG Injection	115698	ziprasidone	N05AE	INDOLE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
5069	SAPHRIS10 MG	859979	asenapine 10 MG Sublingual Tablet [Saphris]	784649	asenapine	N05AH	DIAZEPINES, OXAZEPINES, THIAZEPINES AND OXEPINES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
5070	TENORMIN100 MG	201322	atenolol 100 MG Oral Tablet [Tenormin]	1202	atenolol	C07AB	BETA BLOCKING AGENTS, SELECTIVE	C07A	BETA BLOCKING AGENTS	C07	BETA BLOCKING AGENTS	C	CARDIOVASCULAR SYSTEM
5071	LANTUSSOLOSTAR	847232	3 ML insulin glargine 100 UNT/ML Pen Injector [Lantus]	274783	insulin glargine	A10AE	INSULINS AND ANALOGUES FOR INJECTION, LONG-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
5072	PREDNISONE 5MG T5 M1	312617	prednisone 5 MG Oral Tablet	8640	prednisone	A07EA	CORTICOSTEROIDS ACTING LOCALLY	A07E	INTESTINAL ANTIINFLAMMATORY AGENTS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
5073	PREDNISONE 5MG T5 M1	312617	prednisone 5 MG Oral Tablet	8640	prednisone	H02AB	GLUCOCORTICOIDS	H02A	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	H02	CORTICOSTEROIDS FOR SYSTEMIC USE	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
5074	LIPOFEN50 MG	616853	fenofibrate 50 MG Oral Capsule	8703	fenofibrate	C10AB	FIBRATES	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
5075	QUESTRAN PACKET4 GM	848943	cholestyramine resin 4000 MG Powder for Oral Suspension	2447	cholestyramine resin	C10AC	BILE ACID SEQUESTRANTS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
5076	LASIX 20MG20 MG/2 ML	1719291	4 ML furosemide 10 MG/ML Injection	4603	furosemide	C03CA	SULFONAMIDES, PLAIN	C03C	HIGH-CEILING DIURETICS	C03	DIURETICS	C	CARDIOVASCULAR SYSTEM
5077	CETIRIZINE10 MG	1014678	cetirizine hydrochloride 10 MG Oral Tablet	20610	cetirizine	R06AE	PIPERAZINE DERIVATIVES	R06A	ANTIHISTAMINES FOR SYSTEMIC USE	R06	ANTIHISTAMINES FOR SYSTEMIC USE	R	RESPIRATORY SYSTEM
5078	CETIRIZINE10 MG	1014678	cetirizine hydrochloride 10 MG Oral Tablet	20610	cetirizine	S01GX	OTHER ANTIALLERGICS	S01G	DECONGESTANTS AND ANTIALLERGICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
5079	NAMZARIC 28 MG1 EACH	1599803	24 HR donepezil hydrochloride 10 MG / memantine hydrochloride 28 MG Extended Release Oral Capsule	1430990	donepezil / memantine	N06DA	ANTICHOLINESTERASES	N06D	ANTI-DEMENTIA DRUGS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
5080	ZESTRIL30 MG	213482	lisinopril 30 MG Oral Tablet [Zestril]	29046	lisinopril	C09AA	ACE INHIBITORS, PLAIN	C09A	ACE INHIBITORS, PLAIN	C09	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	C	CARDIOVASCULAR SYSTEM
5081	GUAIFENESIN W/D10 ML	1046630	dextromethorphan hydrobromide 2 MG/ML / guaifenesin 20 MG/ML Oral Solution [Robitussin DM]	214488	dextromethorphan hydrobromide 2 MG/ML / guaifenesin 20 MG/ML Oral Solution	R05DA	OPIUM ALKALOIDS AND DERIVATIVES	R05D	COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS	R05	COUGH AND COLD PREPARATIONS	R	RESPIRATORY SYSTEM
5082	DIFLUCAN100 MG	207107	fluconazole 100 MG Oral Tablet [Diflucan]	4450	fluconazole	D01AC	IMIDAZOLE AND TRIAZOLE DERIVATIVES	D01A	ANTIFUNGALS FOR TOPICAL USE	D01	ANTIFUNGALS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
5083	DIFLUCAN100 MG	207107	fluconazole 100 MG Oral Tablet [Diflucan]	4450	fluconazole	J02AC	TRIAZOLE AND TETRAZOLE DERIVATIVES	J02A	ANTIMYCOTICS FOR SYSTEMIC USE	J02	ANTIMYCOTICS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
5084	NICODERM C1 PATCH .3	351429	24 HR nicotine 0.875 MG/HR Transdermal System [Nicoderm C-Q]	7407	nicotine	N07BA	DRUGS USED IN NICOTINE DEPENDENCE	N07B	DRUGS USED IN ADDICTIVE DISORDERS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
5085	TIMOPTIC 0.25%1 EACH	670640	Timolol 2.5 MG/ML Ophthalmic Solution [Timoptic]	10600	Preservative-Free timolol 2.5 MG/ML Ophthalmic Solution [Timoptic]	S01ED	BETA BLOCKING AGENTS	S01E	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
5086	ARMOUR THYROID100 MG	313393	thyroid (USP) 90 MG Oral Tablet	10572	thyroid (USP)	H03AA	THYROID HORMONES	H03A	THYROID PREPARATIONS	H03	THYROID THERAPY	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
5087	VESICARE 5MG TAB5 MG	477367	solifenacin succinate 5 MG Oral Tablet	322167	solifenacin	G04BD	DRUGS FOR URINARY FREQUENCY AND INCONTINENCE	G04B	UROLOGICALS	G04	UROLOGICALS	G	GENITO URINARY SYSTEM AND SEX HORMONES
5088	FLOVENT DISKUS50 MCG	896018	60 ACTUAT fluticasone propionate 0.05 MG/ACTUAT Dry Powder Inhaler	41126	fluticasone	D07AC	CORTICOSTEROIDS, POTENT (GROUP III)	D07A	CORTICOSTEROIDS, PLAIN	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
5089	FLOVENT DISKUS50 MCG	896018	60 ACTUAT fluticasone propionate 0.05 MG/ACTUAT Dry Powder Inhaler	41126	fluticasone	R01AD	CORTICOSTEROIDS	R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	R01	NASAL PREPARATIONS	R	RESPIRATORY SYSTEM
5090	FLOVENT DISKUS50 MCG	896018	60 ACTUAT fluticasone propionate 0.05 MG/ACTUAT Dry Powder Inhaler	41126	fluticasone	R03BA	GLUCOCORTICOIDS	R03B	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5091	PROTONIX I40 MG/VIAL	885257	pantoprazole 40 MG Injection [Protonix]	40790	pantoprazole	A02BC	PROTON PUMP INHIBITORS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
5092	REFRESH LIQUIGE30 ML	579907	carboxymethylcellulose sodium 0.01 MG/MG Ophthalmic Gel	2062	carboxymethylcellulose	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
5093	DURAGESIC100 MCG.PE	262071	72 HR fentanyl 0.1 MG/HR Transdermal System [Duragesic]	4337	fentanyl	N02AB	PHENYLPIPERIDINE DERIVATIVES	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
5094	LIPITO10 MG	617314	atorvastatin 10 MG Oral Tablet [Lipitor]	83367	atorvastatin	C10AA	HMG COA REDUCTASE INHIBITORS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
5095	PROAIR HFA8.5 GM	2123111	NDA020503 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler	435	albuterol	R03AC	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5096	PROAIR HFA8.5 GM	2123111	NDA020503 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler	435	albuterol	R03CC	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS	R03C	ADRENERGICS FOR SYSTEMIC USE	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5097	LASIX 20MG TABLET	200801	furosemide 20 MG Oral Tablet [Lasix]	4603	furosemide	C03CA	SULFONAMIDES, PLAIN	C03C	HIGH-CEILING DIURETICS	C03	DIURETICS	C	CARDIOVASCULAR SYSTEM
5098	INVEGA3 MG/BLIST	672567	24 HR paliperidone 3 MG Extended Release Oral Tablet	679314	paliperidone	N05AX	OTHER ANTIPSYCHOTICS	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
5099	LIDODERM1 EA	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	C01BB	ANTIARRHYTHMICS, CLASS IB	C01B	ANTIARRHYTHMICS, CLASS I AND III	C01	CARDIAC THERAPY	C	CARDIOVASCULAR SYSTEM
5100	LIDODERM1 EA	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	C05AD	LOCAL ANESTHETICS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
5101	LIDODERM1 EA	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	D04AB	ANESTHETICS FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
5102	LIDODERM1 EA	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	N01BB	AMIDES	N01B	ANESTHETICS, LOCAL	N01	ANESTHETICS	N	NERVOUS SYSTEM
5103	LIDODERM1 EA	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	R02AD	ANESTHETICS, LOCAL	R02A	THROAT PREPARATIONS	R02	THROAT PREPARATIONS	R	RESPIRATORY SYSTEM
5104	LIDODERM1 EA	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	S01HA	LOCAL ANESTHETICS	S01H	LOCAL ANESTHETICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
5105	LIDODERM1 EA	1745091	lidocaine 0.05 MG/MG Medicated Patch	6387	lidocaine	S02DA	ANALGESICS AND ANESTHETICS	S02D	OTHER OTOLOGICALS	S02	OTOLOGICALS	S	SENSORY ORGANS
5106	VESICARE10 MG	539815	solifenacin succinate 10 MG Oral Tablet [Vesicare]	322167	solifenacin	G04BD	DRUGS FOR URINARY FREQUENCY AND INCONTINENCE	G04B	UROLOGICALS	G04	UROLOGICALS	G	GENITO URINARY SYSTEM AND SEX HORMONES
5107	VANCOCIN 11 G/250 ML	313574	Vancomycin 5 MG/ML Injectable Solution	11124	200 ML vancomycin 5 MG/ML Injection	J01XA	GLYCOPEPTIDE ANTIBACTERIALS	J01X	OTHER ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
5108	CHLOR-TRIMET4 MG/TAB	1363311	chlorpheniramine maleate 4 MG Oral Tablet [Chlor-Trimeton]	2400	chlorpheniramine	R06AB	SUBSTITUTED ALKYLAMINES	R06A	ANTIHISTAMINES FOR SYSTEMIC USE	R06	ANTIHISTAMINES FOR SYSTEMIC USE	R	RESPIRATORY SYSTEM
5109	SENNA PLUS TAB1 EACH	1872920	docusate sodium 50 MG / sennosides, USP 8.6 MG Oral Tablet [Colace w/Sennosides]	1008340	docusate / sennosides, USP	A06AB	CONTACT LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
5110	SPIRIVA INHALE1 EACH	485032	tiotropium 0.018 MG Inhalation Powder	69120	tiotropium	R03BB	ANTICHOLINERGICS	R03B	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5111	SPIRIVA INHALE1 EACH	485032	tiotropium 0.018 MG Inhalation Powder	69120	tiotropium	R03AL	ADRENERGICS IN COMBINATION WITH ANTICHOLINERGICS INCL. TRIPLE COMBINATIONS WITH CORTICOSTEROIDS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
5112	OXYIR5 MG	1049621	oxycodone hydrochloride 5 MG Oral Tablet	7804	oxycodone	N02AA	NATURAL OPIUM ALKALOIDS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
